事業所コード,事業所名,営業区分,提供商品,提供日,献立表料理名,価格メモ,提供価格,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ①,2022/7/19,ほうれん草とコーンのマヨネーズ和え,,200,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,野菜,マヨネーズ,その他,,,和,,調理技術勉強会,,113.5,3.26,8.03,8.42,2.609,,,,,,,,,,○,,,CTM/attachment/20160418180113813a6b091c-42c6-458f-b4ff-9db8382cdce8/06050009-1
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ①,2022/7/20,キャベツとベーコンのソテー,,200,本登録,通常レシピ,マイレシピ,その他２,炒物,野菜,その他,その他,春,,中華,,設定なし,,299.24,9.145,23.076,12.892,1.484,,,,,,,,○,,○,○,,CTM/attachment/20160411110728719a8ef655f-40ba-440c-93dc-67ca4153de04/04010034-1
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ①,2022/7/21,キーマポテト,,200,本登録,通常レシピ,マイレシピ,温小鉢,炒物,いも類（こんにゃく含む）,設定なし,カレー,,設定なし,その他,,設定なし,,111.283,4.02,5.147,15.537,0.657,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ①,2022/7/22,野菜コロッケ,,200,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,,,,,和,,設定なし,,251.1,3.8,12.1,31.5,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ②,2022/7/19,厚焼き玉子,,200,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,,104.55,5.595,5.575,8.25,0.675,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ②,2022/7/20,玉子ロール,,200,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,,,,,88.2,5.21,3.8,8.42,0.99,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ②,2022/7/21,ミートオムレツ,,200,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,洋,,,,71.4,5.94,3.08,5.26,0.86,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ②,2022/7/22,スクランブルエッグ,,200,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,,193.52,9.536,13.3,8.892,1.364,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/7/19,白身魚（ホキ）の塩焼き,,200,本登録,通常レシピ,マイレシピ,その他２,焼物,魚,,,,,洋,,設定なし,,93.3,17.195,1.415,2.155,1.365,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/7/20,ホタテ風味カツ,,200,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,202.21,7.2,8.6,23.2,1.2,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/7/21,白身魚（ホキ）のつけ焼き,,200,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,香草・しそ,,,洋,,設定なし,,124.45,13.915,6.065,2.795,1.092,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/7/22,若鶏の塩焼,,200,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,その他,,,設定なし,,設定なし,,232.26,15.426,17.822,3.684,0.952,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/7/18,タンドリーチキン,,360,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,肉（鶏）,塩,カレー,,設定なし,その他,,,,306.944,20.937,24.506,1.908,1.671,,,,,,,,○,,,○,,
